NAME,S1901_C01_001E,S1901_C01_013E
ZCTA5 01746,5452,176854
ZCTA5 10025,40188,176758
ZCTA5 10503,67,176757
ZCTA5 60611,21714,176681
ZCTA5 43054,9987,176545
ZCTA5 01940,4868,176518
ZCTA5 95130,4714,176469
ZCTA5 20842,570,176371
ZCTA5 11569,555,176241
ZCTA5 03087,5024,176225
ZCTA5 19422,7366,176158
ZCTA5 94115,17000,176143
ZCTA5 34108,8196,175941
ZCTA5 38644,71,175841
ZCTA5 01745,246,175712
ZCTA5 11566,11422,175710
ZCTA5 55357,1187,175704
ZCTA5 94963,80,175684
ZCTA5 29659,73,175599
ZCTA5 90290,2002,175506
ZCTA5 95762,14987,175355
ZCTA5 07076,8584,175344
ZCTA5 24957,104,175328
ZCTA5 48098,7050,175282
ZCTA5 20169,8215,175255
ZCTA5 80238,7188,175069
ZCTA5 23112,20371,175063
ZCTA5 57434,191,175050
ZCTA5 06060,887,174967
ZCTA5 60012,3946,174959
ZCTA5 23433,519,174914
ZCTA5 03049,2959,174778
ZCTA5 19004,3869,174755
ZCTA5 33327,6681,174748
ZCTA5 07310,6019,174697
ZCTA5 98008,9125,174696
ZCTA5 11725,9447,174669
ZCTA5 93924,2638,174653
ZCTA5 06336,37,174651
ZCTA5 80121,7237,174623
ZCTA5 20132,5807,174577
ZCTA5 43013,477,174576
ZCTA5 20778,888,174573
ZCTA5 78701,7287,174288
ZCTA5 27608,5074,174255
ZCTA5 77008,17326,174193
ZCTA5 48363,2069,174124
ZCTA5 79541,392,174034
ZCTA5 95113,1426,174008
ZCTA5 80135,1494,174006
ZCTA5 32836,7117,173903
ZCTA5 08824,4152,173865
ZCTA5 91604,15167,173855
ZCTA5 37205,10999,173784
ZCTA5 98029,11853,173740
ZCTA5 92024,19371,173529
ZCTA5 08514,2023,173513
ZCTA5 07006,9573,173476
ZCTA5 18602,123,173464
ZCTA5 06070,5857,173262
ZCTA5 10549,5921,173220
ZCTA5 10956,9833,173129
ZCTA5 06089,1291,173065
ZCTA5 33076,12372,173046
ZCTA5 18954,4360,172961
ZCTA5 76226,9365,172943
ZCTA5 75229,11095,172883
ZCTA5 30004,23681,172784
ZCTA5 02535,792,172772
ZCTA5 07642,3454,172766
ZCTA5 33496,9994,172691
ZCTA5 06777,628,172571
ZCTA5 11935,1197,172542
ZCTA5 21111,1821,172425
ZCTA5 93730,4404,172378
ZCTA5 21797,2792,172271
ZCTA5 98199,10296,172243
ZCTA5 07068,2237,172176
ZCTA5 37014,1268,172160
ZCTA5 59848,46,172017
ZCTA5 61525,3192,171856
ZCTA5 08867,1876,171460
ZCTA5 60062,15757,171445
ZCTA5 30307,8993,171444
ZCTA5 06796,480,171434
ZCTA5 95134,13171,171370
ZCTA5 60026,5263,171305
ZCTA5 06073,2227,171275
ZCTA5 19034,2161,171268
ZCTA5 30319,20604,171253
ZCTA5 07676,3334,171224
ZCTA5 07044,5349,171171
ZCTA5 46814,4224,171096
ZCTA5 94592,414,170959
ZCTA5 20721,9944,170863
ZCTA5 02466,3014,170857
ZCTA5 01827,1155,170821
ZCTA5 11957,480,170790
ZCTA5 21612,221,170725
ZCTA5 06107,7805,170642
ZCTA5 01450,3944,170635
ZCTA5 05059,232,170594
ZCTA5 80118,2351,170581
ZCTA5 08534,4781,170536
ZCTA5 21210,5130,170517
